iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
5,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,1,0,1,1,6.19185e-32,-3.08787e-16,214.588
5,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,2,0,1,1,1.91182e-29,1.29578e-16,213.095
5,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,3,0,0.454601,0.664758,0.425326,0.317815,44.3854
6,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,1,1,0,1,1,6.50119e-32,-1.0969e-16,169.564
6,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,1,2,0,1,1,3.44946e-30,-1.78635e-16,160.337
6,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,1,3,0,0.791913,0.913856,0.122767,0.0859555,18.4233
7,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,0,1,0,1,1,2.8862e-30,-3.60822e-16,181.788
7,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,0,2,0,1,1,8.61746e-32,-4.71964e-17,174.46
7,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,0,3,0,0.931439,0.987824,0.0581092,0.011779,13.5996
8,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,1,1,0,1,1,1.58383e-31,-4.49802e-16,168.577
8,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,1,2,0,1,1,1.58383e-31,-4.49802e-16,183.476
8,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,1,3,0,0.961188,0.989309,0.015176,0.0106534,12.2268
9,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,1,0,1,1,1.04857e-25,-4.34875e-16,158.876
9,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,2,0,-304.351,-4.45393,343.554,6.25,147.991
9,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,3,0,-0.0147291,0.0061973,1.14169,1.13886,9.79304
10,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,1,0,-26.2832,-5.42689,16.4542,6.25,136.507
10,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,2,0,-26.2832,-5.42689,16.4542,6.25,129.882
10,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,3,0,-0.370817,0.181639,0.826724,0.795836,11.937
11,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,1,0,1,1,1.39617e-32,1.38997e-16,141.188
11,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,2,0,1,1,1.41068e-32,9.35086e-17,137.29
11,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,3,0,0.600273,0.883238,0.116054,0.109268,11.9187
12,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,1,0,1,1,1.34834e-31,-1.71215e-16,134.198
12,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,2,0,1,1,8.25597e-32,-1.7991e-16,125.059
12,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,3,0,0.582127,0.866781,0.130669,0.122779,11.4557
13,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,1,0,-21.7068,-4.48192,10.5464,6.25,107.527
