iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,mse,timeMs
60,50,0.01,0.2,50,1,1000,10,2,0.3,0.5,10,0,0,100.77,138.716
61,50,0.01,0.2,50,1,1000,10,2,0.8,0,1,1,0,6.03998,94.8009
62,50,0.01,0.2,50,1,1000,10,2,0.8,0,1,0,0,6.45724,94.7122
63,50,0.01,0.2,50,1,1000,10,2,0.8,0,10,1,0,6.36013,97.1593
64,50,0.01,0.2,50,1,1000,10,2,0.8,0,10,0,0,6.31667,95.2152
65,50,0.01,0.2,50,1,1000,10,2,0.8,0.3,1,1,0,8.01804,103.955
66,50,0.01,0.2,50,1,1000,10,2,0.8,0.3,1,0,0,6.76584,94.9854
67,50,0.01,0.2,50,1,1000,10,2,0.8,0.3,10,1,0,190.886,125.309
68,50,0.01,0.2,50,1,1000,10,2,0.8,0.3,10,0,0,69.0005,116.339
69,50,0.01,0.2,50,1,1000,10,2,0.8,0.5,1,1,0,9.69342,111.31
70,50,0.01,0.2,50,1,1000,10,2,0.8,0.5,1,0,0,7.70897,117.48
71,50,0.01,0.2,50,1,1000,10,2,0.8,0.5,10,1,0,335.066,169.956
72,50,0.01,0.2,50,1,1000,10,2,0.8,0.5,10,0,0,91.6022,129.44
73,50,0.01,0.2,50,1,1000,10,5,0.01,0,1,1,0,0.00128942,6.89438
74,50,0.01,0.2,50,1,1000,10,5,0.01,0,1,0,0,0.00168648,7.07141
75,50,0.01,0.2,50,1,1000,10,5,0.01,0,10,1,0,0.00119321,6.937
76,50,0.01,0.2,50,1,1000,10,5,0.01,0,10,0,0,0.00116591,6.71293
77,50,0.01,0.2,50,1,1000,10,5,0.01,0.3,1,1,0,1.82522,39.6505
78,50,0.01,0.2,50,1,1000,10,5,0.01,0.3,1,0,0,1.16406,35.0503
79,50,0.01,0.2,50,1,1000,10,5,0.01,0.3,10,1,0,117.875,66.8555
80,50,0.01,0.2,50,1,1000,10,5,0.01,0.3,10,0,0,41.0248,54.121
81,50,0.01,0.2,50,1,1000,10,5,0.01,0.5,1,1,0,2.86636,73.8199
82,50,0.01,0.2,50,1,1000,10,5,0.01,0.5,1,0,0,1.19426,61.5016
83,50,0.01,0.2,50,1,1000,10,5,0.01,0.5,10,1,0,43.0695,97.1078
84,50,0.01,0.2,50,1,1000,10,5,0.01,0.5,10,0,0,25.8112,103.312
85,50,0.01,0.2,50,1,1000,10,5,0.3,0,1,1,0,0.833537,59.4052
86,50,0.01,0.2,50,1,1000,10,5,0.3,0,1,0,0,1.33928,59.8109
87,50,0.01,0.2,50,1,1000,10,5,0.3,0,10,1,0,0.823452,54.2619
88,50,0.01,0.2,50,1,1000,10,5,0.3,0,10,0,0,0.979286,58.2111
