iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2,mse,timeMs
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,1,0,1,-2.20268e-16,5.74371
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,2,0,1,-1.84297e-16,5.5003
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,1,0,1,-3.58547e-16,5.28127
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,2,0,1,-2.11164e-16,5.01914
3,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,1,0,0.640283,0.55,4.50503
3,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,2,0,0.640283,0.55,4.67077
4,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,0,1,0,0.840556,0.190566,4.59113
4,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,0,0,2,0,0.840556,0.190566,4.70705
5,100,0.1,0.2,100,1,500,2,1,0,0.2,2.5,1,0,1,0,0.442615,1.25,4.06588
5,100,0.1,0.2,100,1,500,2,1,0,0.2,2.5,1,0,2,0,0.442615,1.25,3.84191
6,100,0.1,0.2,100,1,500,2,1,0,0.2,2.5,0,0,1,0,0.674352,0.454762,4.19627
6,100,0.1,0.2,100,1,500,2,1,0,0.2,2.5,0,0,2,0,0.674352,0.454762,4.12781
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,1,0,0.331636,1.9375,3.46758
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,2,0,0.331636,1.9375,3.75235
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,1,0,0.665933,0.525779,3.73688
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,2,0,0.668272,0.522098,4.66315
9,100,0.1,0.2,100,1,500,2,1,0,0.4,2.5,1,0,1,0,-1.29509,8.4125,3.33646
9,100,0.1,0.2,100,1,500,2,1,0,0.4,2.5,1,0,2,0,-1.29509,8.4125,3.42543
10,100,0.1,0.2,100,1,500,2,1,0,0.4,2.5,0,0,1,0,0.524016,0.780067,3.65111
10,100,0.1,0.2,100,1,500,2,1,0,0.4,2.5,0,0,2,0,0.524016,0.780067,4.18769
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,1,0,-0.42325,4.9375,3.32553
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,2,0,-0.42325,4.9375,3.40411
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,1,0,0.466833,0.925945,3.59981
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,2,0,0.466833,0.925945,3.71787
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,1,0,0.988416,0.0116001,4.48981
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,2,0,0.988351,0.011665,4.69409
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,1,0,0.990347,0.0100527,4.49706
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,2,0,0.990403,0.00999397,4.64064
15,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,0,1,0,0.622674,0.644585,4.01454
15,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,1,0,2,0,0.622874,0.644243,4.19124
16,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,0,1,0,0.831655,0.215667,3.97797
16,100,0.1,0.2,100,1,500,2,1,0.1,0.1,2.5,0,0,2,0,0.8319,0.215353,4.25458
