iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2,mse,timeMs
1,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,1,0,1,1,0.385742,1.2874,42.3559
1,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,1,0,2,1,0.861153,0.291005,37.406
2,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,1,0,1,0,0.392184,1.1997,36.2693
2,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,1,0,2,0,0.844081,0.307752,37.1925
3,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,0,0,1,1,0.395307,1.18611,45.9659
3,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,0,0,2,1,0.842351,0.309229,48.2118
4,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,0,0,1,0,0.309737,1.42258,52.2204
4,100,0.1,0.2,100,1,1000,5,1,0.5,0,5,0,0,2,0,0.87895,0.249474,50.6161
5,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,1,0,1,1,0.180684,9.35265,55.2393
5,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,1,0,2,1,0.767003,2.6597,52.1164
6,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,1,0,1,0,0.0542559,10.5429,43.2053
6,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,1,0,2,0,0.751986,2.76481,51.3183
7,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,0,0,1,1,0.184197,3.96617,49.9694
7,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,0,0,2,1,0.76754,1.13015,50.3554
8,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,0,0,1,0,0.0994592,4.68067,53.5863
8,100,0.1,0.2,100,1,1000,5,1,0.5,0.1,5,0,0,2,0,0.770452,1.1931,44.2268
9,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,1,0,1,1,-0.0315599,19.7168,54.8583
9,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,1,0,2,1,0.657415,6.54803,56.1616
10,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,1,0,1,0,0.089285,19.9385,54.7923
10,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,1,0,2,0,0.815915,4.03022,63.045
11,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,0,0,1,1,0.167379,6.71283,60.771
11,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,0,0,2,1,0.781076,1.76503,56.115
12,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,0,0,1,0,0.0731792,7.07618,54.1915
12,100,0.1,0.2,100,1,1000,5,1,0.5,0.2,5,0,0,2,0,0.733813,2.03231,59.5672
13,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,1,0,1,1,-0.375943,32.2867,74.3991
13,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,1,0,2,1,0.481598,12.1644,86.7908
14,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,1,0,1,0,0.120683,25.5162,85.438
14,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,1,0,2,0,0.769072,6.70113,75.9099
15,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,0,0,1,1,0.153908,10.2146,66.6171
15,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,0,0,2,1,0.777724,2.68346,62.5061
16,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,0,0,1,0,0.143674,8.95951,61.1954
16,100,0.1,0.2,100,1,1000,5,1,0.5,0.3,5,0,0,2,0,0.78022,2.2995,63.388
17,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,1,0,1,1,0.101662,29.8273,86.0775
17,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,1,0,2,1,0.864748,4.49074,94.0479
18,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,1,0,1,0,0.229306,32.4871,79.5085
18,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,1,0,2,0,0.789664,8.86632,95.1673
19,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,0,0,1,1,0.204472,12.0977,66.3159
19,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,0,0,2,1,0.774232,3.4333,77.2708
20,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,0,0,1,0,0.147328,12.299,73.3893
20,100,0.1,0.2,100,1,1000,5,1,0.5,0.4,5,0,0,2,0,0.829127,2.46468,74.9705
21,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,1,0,1,1,0.232191,21.3995,98.3236
21,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,1,0,2,1,0.799921,5.57639,99.9376
22,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,1,0,1,0,0.22611,39.8459,114.491
22,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,1,0,2,0,0.959904,2.06447,124.373
23,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,0,0,1,1,-0.0180919,12.6109,77.9706
23,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,0,0,2,1,0.831256,2.09019,79.4887
24,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,0,0,1,0,0.141336,15.3699,83.5541
24,100,0.1,0.2,100,1,1000,5,1,0.5,0.5,5,0,0,2,0,0.828156,3.07597,88.7934
25,100,0.1,0.2,100,1,1000,5,1,1,0,5,1,0,1,1,0.134929,4.28853,73.4133
25,100,0.1,0.2,100,1,1000,5,1,1,0,5,1,0,2,1,0.806897,0.957294,77.2831
26,100,0.1,0.2,100,1,1000,5,1,1,0,5,1,0,1,0,0.140793,4.31332,74.6305
26,100,0.1,0.2,100,1,1000,5,1,1,0,5,1,0,2,0,0.786744,1.07057,79.968
27,100,0.1,0.2,100,1,1000,5,1,1,0,5,0,0,1,1,0.110964,4.4563,71.6764
27,100,0.1,0.2,100,1,1000,5,1,1,0,5,0,0,2,1,0.706759,1.46987,75.9278
28,100,0.1,0.2,100,1,1000,5,1,1,0,5,0,0,1,0,0.102191,4.54723,71.2985
28,100,0.1,0.2,100,1,1000,5,1,1,0,5,0,0,2,0,0.781525,1.10653,74.611
29,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,1,0,1,1,0.207986,11.7192,78.0253
29,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,1,0,2,1,0.779655,3.26037,81.2821
30,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,1,0,1,0,0.214809,12.493,79.8113
30,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,1,0,2,0,0.848325,2.41327,80.5015
31,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,0,0,1,1,0.158144,7.04233,78.727
31,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,0,0,2,1,0.750029,2.09106,82.3294
32,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,0,0,1,0,0.120889,6.87438,80.2673
32,100,0.1,0.2,100,1,1000,5,1,1,0.1,5,0,0,2,0,0.803539,1.53626,81.8385
33,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,1,0,1,1,0.127316,20.6078,85.0894
33,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,1,0,2,1,0.853567,3.4579,86.5541
34,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,1,0,1,0,0.179806,20.9656,89.2004
34,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,1,0,2,0,0.763123,6.055,95.697
35,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,0,0,1,1,0.115159,9.43402,83.1917
35,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,0,0,2,1,0.799447,2.13826,87.6994
36,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,0,0,1,0,0.225544,9.17835,84.006
36,100,0.1,0.2,100,1,1000,5,1,1,0.2,5,0,0,2,0,0.794596,2.43432,93.9725
37,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,1,0,1,1,0.180988,27.4867,97.57
37,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,1,0,2,1,0.808539,6.42558,114.538
38,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,1,0,1,0,0.194964,27.2786,95.633
38,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,1,0,2,0,0.721974,9.42092,99.3213
39,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,0,0,1,1,0.164687,11.4943,88.797
39,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,0,0,2,1,0.787694,2.92144,86.1502
40,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,0,0,1,0,0.215682,11.9892,91.3931
40,100,0.1,0.2,100,1,1000,5,1,1,0.3,5,0,0,2,0,0.760692,3.65809,92.5253
41,100,0.1,0.2,100,1,1000,5,1,1,0.4,5,1,0,1,1,0.0236468,37.5457,123.315
41,100,0.1,0.2,100,1,1000,5,1,1,0.4,5,1,0,2,1,0.790248,8.06604,123.267
