iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2,mse,timeMs
1,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,1,1,1,-3.76699e-16,10.612
1,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,2,1,1,-2.94986e-16,10.7718
2,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,1,0,1,-3.37758e-16,10.3465
2,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,2,0,1,-5.05596e-16,12.3257
3,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,1,1,1,-4.1725e-16,12.2454
3,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,2,1,1,1.10578e-16,10.1433
4,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,1,0,1,-3.00274e-16,9.97896
4,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,2,0,1,-2.79221e-17,10.2761
5,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,1,1,0.630102,0.5875,9.20077
5,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,2,1,0.630102,0.5875,9.2336
6,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,1,0,0.540022,0.775,8.96895
6,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,2,0,0.540022,0.775,11.5756
7,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,1,1,0.781988,0.289966,9.05518
7,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,2,1,0.781988,0.289966,9.74399
8,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,1,0,0.815958,0.218761,9.39367
8,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,2,0,0.815958,0.218761,9.91751
9,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,1,1,-1.61399,5.7375,8.4466
9,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,2,1,-1.61399,5.7375,9.00467
10,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,1,0,0.461592,1.1875,8.29064
10,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,2,0,0.461592,1.1875,9.04922
11,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,1,1,0.722872,0.407428,8.15188
11,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,2,1,0.722872,0.407428,8.29397
12,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,1,0,0.674936,0.451711,8.79861
12,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,2,0,0.674936,0.451711,8.77844
13,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,1,1,0.277042,1.93125,7.7158
13,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,2,1,-1.13144,5.69375,7.58516
14,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,1,0,-1.14066,5.325,8.90563
14,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,2,0,-1.14066,5.325,8.67513
15,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,1,1,0.61988,0.613802,7.87029
15,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,2,1,0.61988,0.613802,8.0126
16,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,1,0,0.639936,0.569847,7.88004
16,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,2,0,0.639755,0.570135,8.269
