iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,3,0,0.957052,0.990177,0.0142722,0.00951669,0.917574
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,1,0,0.0634778,0.989696,0.0104669,0.0104534,7.4007
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,2,0,0.0713261,0.989775,0.0103791,0.0103733,7.16352
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,3,0,0.0773872,0.989845,0.0103114,0.0103025,0.719819
16,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,1,0,0.808407,0.990646,0.010411,0.00992588,7.3654
16,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,2,0,0.809591,0.990639,0.0103466,0.00993263,7.10908
16,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,3,0,0.811085,0.990731,0.0102655,0.009835,0.792202
17,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,1,0,0.95593,0.990095,0.015817,0.0101828,6.04706
17,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,2,0,0.956474,0.990157,0.0156216,0.0101184,5.05931
17,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,3,0,-0.902356,0.384737,0.682761,0.632499,1.184
18,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,1,0,-20.099,0.989231,20.7197,0.0106887,6.53895
18,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,2,0,-46.3775,0.989683,46.5257,0.0102396,5.15827
18,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,3,0,-0.00369595,0.017619,0.985651,0.975014,1.00318
19,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,1,0,0.957952,0.989791,0.0259069,0.00982817,5.92424
19,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,2,0,0.958783,0.990218,0.0253949,0.00941761,7.13817
19,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,3,0,0.450967,0.68872,0.338274,0.299672,1.45942
20,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,1,0,0.942971,0.986714,0.0325504,0.0121319,6.09861
20,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,2,0,0.944143,0.986545,0.0318815,0.0122867,6.11034
20,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,3,0,0.276936,0.565364,0.412703,0.396885,1.30973
21,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,0,1,0,0.929348,0.990856,0.0717928,0.0110476,4.86198
21,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,0,2,0,-0.893133,0.0700529,1.92369,1.1236,6.26433
21,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,0,3,0,-0.229903,0.0298503,1.24976,1.17218,1.36721
22,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,1,0,-29.976,-5.93938,11.0758,6.42059,6.33928
22,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,2,0,-29.0523,-5.74519,10.7456,6.24092,5.5522
22,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,1,1,3,0,-2.25792,0.106799,1.16491,0.826424,1.67331
23,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,1,0,0.948259,0.990342,0.0377981,0.00979916,7.58884
23,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,2,0,0.949485,0.99046,0.036903,0.00967938,5.70348
23,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,0,3,0,0.00863321,0.286251,0.724223,0.724182,1.24725
24,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,1,0,0.94144,0.990092,0.0126091,0.00977035,7.78472
24,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,2,0,0.944105,0.990491,0.0120352,0.00937692,7.55515
24,100,0.1,0.2,100,1,500,2,1,0.1,0.5,2.5,0,1,3,0,0.0987003,0.803346,0.194067,0.193916,1.84865
25,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,1,0,-0.38528,0.839044,1.21969,0.174767,8.86138
25,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,2,0,-0.658554,0.853712,1.4603,0.158841,7.75611
25,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,0,3,0,0.518401,0.879788,0.424032,0.130528,1.32985
26,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,1,0,-31.3617,0.119274,9.91407,0.947861,8.16822
26,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,2,0,-39.5997,0.131542,12.4378,0.934657,7.73278
26,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,1,1,3,0,0.605396,0.909471,0.120888,0.0974293,0.98138
27,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,1,0,0.141567,0.915164,0.0915043,0.090086,9.70068
27,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,2,0,0.156025,0.917101,0.0899631,0.0880297,6.95818
27,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,0,3,0,0.162247,0.9174,0.0893,0.0877121,0.888955
28,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,1,0,0.689841,0.915529,0.126452,0.0938499,9.43826
28,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,2,0,0.698673,0.927102,0.122851,0.0809926,6.74572
28,100,0.1,0.2,100,1,500,2,1,0.3,0,2.5,0,1,3,0,0.709767,0.924524,0.118328,0.0838565,1.07849
29,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,1,0,-1.01715,0.097424,1.37384,0.894065,9.89592
29,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,2,0,-1.84795,0.0021899,1.93967,0.988401,6.62926
29,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,0,3,0,-0.368113,0.140097,0.931789,0.851794,2.25895
30,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,1,0,0.118478,0.652717,0.438545,0.339536,8.58374
30,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,2,0,-2.64268,-0.256143,1.81218,1.22812,9.10877
30,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,1,1,3,0,-0.631749,0.249996,0.811772,0.733273,2.29272
31,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,1,0,-305.819,-0.476827,129.25,1.35112,6.71694
31,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,2,0,0.494332,0.869602,0.213017,0.119298,7.25147
31,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,0,3,0,0.300235,0.689444,0.294782,0.28412,1.689
32,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,1,0,0.0259516,0.924019,0.0854696,0.0853761,6.53948
32,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,2,0,-0.102287,0.914199,0.0967222,0.0964098,9.1373
32,100,0.1,0.2,100,1,500,2,1,0.3,0.3,2.5,0,1,3,0,0.0282956,0.924174,0.085264,0.0852016,1.49645
33,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,1,0,-0.404729,-0.253914,1.35486,1.3406,5.59169
33,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,2,0,0.0228714,0.130448,0.942439,0.929667,5.70436
33,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,0,3,0,-0.0206429,0.0867556,0.984409,0.97638,1.94066
34,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,1,0,0.432186,0.84615,0.486683,0.179327,6.68707
34,100,0.1,0.2,100,1,500,2,1,0.3,0.5,2.5,1,1,2,0,-0.953462,-0.0250944,1.67435,1.19485,5.05088
